sequence_name	target_start	target_end	amplicon_name	fprimer_start	fprimer_end	fprimer_name	rprimer_start	rprimer_end	rprimer_name	forward_sequence	reverse_sequence
NC_045512.2	27	276	QIAseq_221_LEFT|QIAseq_221_RIGHT	27	51	QIAseq_221_LEFT	254	276	QIAseq_221_RIGHT		
NC_045512.2	27	280	QIAseq_221_LEFT|QIAseq_221-2_RIGHT	27	51	QIAseq_221_LEFT	258	280	QIAseq_221-2_RIGHT		
NC_045512.2	31	276	QIAseq_221-2_LEFT|QIAseq_221_RIGHT	31	56	QIAseq_221-2_LEFT	254	276	QIAseq_221_RIGHT		
NC_045512.2	31	280	QIAseq_221-2_LEFT|QIAseq_221-2_RIGHT	31	56	QIAseq_221-2_LEFT	258	280	QIAseq_221-2_RIGHT		
NC_045512.2	151	399	QIAseq_223_LEFT|QIAseq_223_RIGHT	151	173	QIAseq_223_LEFT	377	399	QIAseq_223_RIGHT		
NC_045512.2	151	401	QIAseq_223_LEFT|QIAseq_223-2_RIGHT	151	173	QIAseq_223_LEFT	378	401	QIAseq_223-2_RIGHT		
NC_045512.2	165	399	QIAseq_223-2_LEFT|QIAseq_223_RIGHT	165	189	QIAseq_223-2_LEFT	377	399	QIAseq_223_RIGHT		
NC_045512.2	165	401	QIAseq_223-2_LEFT|QIAseq_223-2_RIGHT	165	189	QIAseq_223-2_LEFT	378	401	QIAseq_223-2_RIGHT		
NC_045512.2	290	539	QIAseq_1_LEFT|QIAseq_1_RIGHT	290	312	QIAseq_1_LEFT	517	539	QIAseq_1_RIGHT		
NC_045512.2	404	634	QIAseq_2_LEFT|QIAseq_2_RIGHT	404	426	QIAseq_2_LEFT	612	634	QIAseq_2_RIGHT		
NC_045512.2	548	777	QIAseq_3_LEFT|QIAseq_3_RIGHT	548	570	QIAseq_3_LEFT	755	777	QIAseq_3_RIGHT		
NC_045512.2	705	917	QIAseq_4_LEFT|QIAseq_4_RIGHT	705	727	QIAseq_4_LEFT	895	917	QIAseq_4_RIGHT		
NC_045512.2	793	1029	QIAseq_5_LEFT|QIAseq_5_RIGHT	793	815	QIAseq_5_LEFT	1005	1029	QIAseq_5_RIGHT		
NC_045512.2	944	1191	QIAseq_6_LEFT|QIAseq_6_RIGHT	944	966	QIAseq_6_LEFT	1169	1191	QIAseq_6_RIGHT		
NC_045512.2	1067	1304	QIAseq_7_LEFT|QIAseq_7_RIGHT	1067	1094	QIAseq_7_LEFT	1282	1304	QIAseq_7_RIGHT		
NC_045512.2	1198	1459	QIAseq_8_LEFT|QIAseq_8_RIGHT	1198	1220	QIAseq_8_LEFT	1436	1459	QIAseq_8_RIGHT		
NC_045512.2	1335	1601	QIAseq_9_LEFT|QIAseq_9_RIGHT	1335	1359	QIAseq_9_LEFT	1579	1601	QIAseq_9_RIGHT		
NC_045512.2	1479	1729	QIAseq_10_LEFT|QIAseq_10_RIGHT	1479	1501	QIAseq_10_LEFT	1707	1729	QIAseq_10_RIGHT		
NC_045512.2	1623	1844	QIAseq_11_LEFT|QIAseq_11_RIGHT	1623	1649	QIAseq_11_LEFT	1821	1844	QIAseq_11_RIGHT		
NC_045512.2	1760	1974	QIAseq_12_LEFT|QIAseq_12_RIGHT	1760	1786	QIAseq_12_LEFT	1950	1974	QIAseq_12_RIGHT		
NC_045512.2	1875	2096	QIAseq_13_LEFT|QIAseq_13_RIGHT	1875	1897	QIAseq_13_LEFT	2074	2096	QIAseq_13_RIGHT		
NC_045512.2	1993	2248	QIAseq_14_LEFT|QIAseq_14_RIGHT	1993	2018	QIAseq_14_LEFT	2226	2248	QIAseq_14_RIGHT		
NC_045512.2	2133	2372	QIAseq_15_LEFT|QIAseq_15_RIGHT	2133	2155	QIAseq_15_LEFT	2349	2372	QIAseq_15_RIGHT		
NC_045512.2	2250	2514	QIAseq_16_LEFT|QIAseq_16_RIGHT	2250	2273	QIAseq_16_LEFT	2492	2514	QIAseq_16_RIGHT		
NC_045512.2	2390	2628	QIAseq_17_LEFT|QIAseq_17_RIGHT	2390	2412	QIAseq_17_LEFT	2605	2628	QIAseq_17_RIGHT		
NC_045512.2	2523	2783	QIAseq_18_LEFT|QIAseq_18_RIGHT	2523	2548	QIAseq_18_LEFT	2760	2783	QIAseq_18_RIGHT		
NC_045512.2	2664	2905	QIAseq_19_LEFT|QIAseq_19_RIGHT	2664	2687	QIAseq_19_LEFT	2883	2905	QIAseq_19_RIGHT		
NC_045512.2	2786	3028	QIAseq_20_LEFT|QIAseq_20_RIGHT	2786	2814	QIAseq_20_LEFT	2999	3028	QIAseq_20_RIGHT		
NC_045512.2	2931	3160	QIAseq_21_LEFT|QIAseq_21_RIGHT	2931	2953	QIAseq_21_LEFT	3138	3160	QIAseq_21_RIGHT		
NC_045512.2	3043	3277	QIAseq_22_LEFT|QIAseq_22_RIGHT	3043	3067	QIAseq_22_LEFT	3249	3277	QIAseq_22_RIGHT		
NC_045512.2	3177	3412	QIAseq_23_LEFT|QIAseq_23_RIGHT	3177	3203	QIAseq_23_LEFT	3390	3412	QIAseq_23_RIGHT		
NC_045512.2	3177	3425	QIAseq_23_LEFT|QIAseq_23-2_RIGHT	3177	3203	QIAseq_23_LEFT	3399	3425	QIAseq_23-2_RIGHT		
NC_045512.2	3177	3452	QIAseq_23_LEFT|QIAseq_23-3_RIGHT	3177	3203	QIAseq_23_LEFT	3430	3452	QIAseq_23-3_RIGHT		
NC_045512.2	3317	3585	QIAseq_24-2_LEFT|QIAseq_24_RIGHT	3317	3345	QIAseq_24-2_LEFT	3562	3585	QIAseq_24_RIGHT		
NC_045512.2	3367	3585	QIAseq_24_LEFT|QIAseq_24_RIGHT	3367	3397	QIAseq_24_LEFT	3562	3585	QIAseq_24_RIGHT		
NC_045512.2	3470	3706	QIAseq_25_LEFT|QIAseq_25_RIGHT	3470	3492	QIAseq_25_LEFT	3684	3706	QIAseq_25_RIGHT		
NC_045512.2	3606	3839	QIAseq_26_LEFT|QIAseq_26_RIGHT	3606	3628	QIAseq_26_LEFT	3813	3839	QIAseq_26_RIGHT		
NC_045512.2	3715	3981	QIAseq_27_LEFT|QIAseq_27_RIGHT	3715	3737	QIAseq_27_LEFT	3954	3981	QIAseq_27_RIGHT		
NC_045512.2	3854	4092	QIAseq_28_LEFT|QIAseq_28_RIGHT	3854	3877	QIAseq_28_LEFT	4067	4092	QIAseq_28_RIGHT		
